Comment,Designator,Footprint,LCSC,Quantity
LED_GREEN,D4,LED_D3.0mm,,1
SMA Vertical,J8,SMA_Amphenol_132134-10_Vertical,,1
"470 ohm, 0.25W",R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
GND,INB_GND_TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TX_Node_1,TX_1_TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TC6320,Q2,SOIC-8_3.9x4.9mm_P1.27mm,,1
GND,TRIG_OUT_GND_TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
LED_GREEN,D1,LED_D3.0mm,,1
LED_GREEN,D6,LED_D3.0mm,,1
HV_N,HV_N_TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
1N5819,D7,D_DO-41_SOD81_P10.16mm_Horizontal,,1
1uF / 200V,C4,C_1210_3225Metric,,1
"470 ohm, 0.25W",R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Jumper_2pin,JP2,PinHeader_1x02_P2.54mm_Vertical,,1
"100K, 0.25W",R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
HV_P,HV_P_TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
INB,INB_TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
1uF/250V,C11,C_1210_3225Metric,,1
DRV_P5V,LV_P_TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TC6320,Q1,SOIC-8_3.9x4.9mm_P1.27mm,,1
10K,R16,R_0805_2012Metric,,1
10K,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10K,R36,R_0805_2012Metric,,1
GND,INA_GND_TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
MURS160,D5,D_SMA,,1
Screw_Terminal_01x02,J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,,1
Screw_Terminal_01x02,J1,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,,1
1uF/250V,C14,C_1210_3225Metric,,1
